TrialID	TestID	User	SessionNumber	TrialNum	Dot1	Dot1_2	Dot2	Dot2_3	Dot3	Dot3_4	Dot4	Dot4_5	Dot5	Dot5_6	Dot6
661	328	TP01153	1	1	71	27	88	54	87	87	49	195	26	192	23
662	328	TP01153	1	2	16	40	116	56	105	75	176	102	147	57	32
663	328	TP01153	1	3	56	28	127	38	173	102	146	112	124	84	25
664	328	TP01153	1	4	60	59	174	73	195	147	27	413	176	104	7
665	328	TP01153	1	5	65	35	122	55	85	175	133	117	126	105	20
666	328	TP01153	1	6	142	59	199	57	381	49	80	227	152	59	39
667	328	TP01153	1	7	76	9	112	39	302	61	41	249	146	77	38
668	328	TP01153	1	8	58	9	75	90	88	233	213	117	167	83	20
669	328	TP01153	1	9	95	44	58	133	140	112	56	216	133	75	42
670	328	TP01153	1	10	54	29	107	42	79	138	31	249	117	102	30
671	328	TP01153	1	11	54	1	38	85	113	129	124	122	159	77	27
672	328	TP01153	1	12	45	22	44	116	69	122	30	264	120	75	40
673	328	TP01153	1	13	83	73	165	56	99	249	45	104	161	93	22
674	328	TP01153	1	14	50	47	131	38	105	77	164	114	148	91	30
675	328	TP01153	1	15	52	15	115	43	79	112	183	90	39	179	30
676	328	TP01153	1	16	99	74	129	55	213	129	31	233	159	85	18
677	328	TP01153	1	17	69	28	134	61	203	71	44	221	30	203	22
678	328	TP01153	1	18	68	12	119	59	68	313	30	103	123	79	14
679	328	TP01153	1	19	47	21	80	79	47	130	82	241	117	63	31
680	328	TP01153	1	20	61	9	58	80	55	127	43	242	113	67	31
681	328	TP01153	1	21	54	29	92	41	51	159	56	253	144	75	32
682	328	TP01153	1	22	59	38	100	75	87	324	45	95	231	112	58
683	328	TP01153	1	23	63	21	124	36	70	131	63	218	119	73	34
684	328	TP01153	1	24	52	13	105	51	36	111	32	283	64	99	30
685	328	TP01153	1	25	51	1	46	117	35	93	45	306	105	98	26
686	328	TP01153	1	26	49	18	45	90	21	123	46	290	136	102	9
687	328	TP01153	1	27	113	44	103	69	86	94	29	261	149	78	24
688	328	TP01153	1	28	58	40	50	116	68	374	49	130	303	137	235
689	328	TP01153	1	29	52	49	77	61	51	104	70	267	130	76	30
690	328	TP01153	1	30	56	43	75	61	71	127	45	235	145	74	29
691	328	TP01153	1	31	112	59	107	58	69	58	47	245	119	89	29
692	328	TP01153	1	32	53	30	44	125	36	73	42	325	120	83	32
693	328	TP01153	1	33	51	19	73	78	68	102	25	298	102	103	17
694	328	TP01153	1	34	73	54	75	41	88	58	60	259	122	87	34
695	328	TP01153	1	35	61	38	93	43	68	111	48	251	118	82	18
696	328	TP01153	1	36	48	35	83	45	48	66	52	203	162	58	33
697	328	TP01153	1	37	49	36	66	57	36	88	50	214	103	74	33
698	328	TP01153	1	38	68	28	59	68	52	99	51	242	60	104	32
699	328	TP01153	1	39	50	33	59	56	59	111	53	210	82	76	33
700	328	TP01153	1	40	73	9	60	74	53	94	47	215	61	103	29
701	328	TP01153	1	41	52	46	59	75	70	75	28	277	130	90	16
702	328	TP01153	1	42	56	42	80	62	33	102	52	255	104	86	51
703	328	TP01153	1	43	75	9	87	72	52	148	34	237	153	95	29
704	328	TP01153	1	44	52	31	74	58	71	266	19	91	82	100	30
705	328	TP01153	1	45	56	57	56	60	52	111	61	258	117	81	30
706	328	TP01153	1	46	65	62	79	55	69	138	15	267	148	79	44
707	328	TP01153	1	47	54	45	88	50	53	92	46	274	85	114	32
708	328	TP01153	1	48	47	9	54	105	51	75	32	268	100	101	32
709	328	TP01153	1	49	47	37	97	37	41	93	45	281	64	101	21
710	328	TP01153	1	50	49	35	93	24	70	95	30	265	112	88	17
761	328	TP01153	2	1	66	32	80	117	97	61	35	271	249	44	53
762	328	TP01153	2	2	51	15	663	116	105	51	38	263	140	42	165
763	328	TP01153	2	3	60	39	114	106	64	238	14	134	63	35	131
764	328	TP01153	2	4	56	42	124	97	73	74	35	302	94	76	150
765	328	TP01153	2	5	127	63	196	108	212	56	51	252	176	55	130
766	328	TP01153	2	6	71	26	148	103	45	110	42	297	52	60	110
767	328	TP01153	2	7	64	35	106	83	46	161	36	301	47	55	114
768	328	TP01153	2	8	48	35	46	173	32	102	41	257	40	32	39
769	328	TP01153	2	9	69	43	120	71	120	59	36	266	23	11	110
770	328	TP01153	2	10	40	44	122	95	77	54	41	226	47	29	17
771	328	TP01153	2	11	16	39	105	110	96	60	24	283	26	75	18
772	328	TP01153	2	12	55	43	111	95	65	77	37	278	51	19	38
773	328	TP01153	2	13	200	60	136	996	320	61	62	358	50	101	142
774	328	TP01153	2	14	110	82	29	235	117	55	59	261	51	39	40
775	328	TP01153	2	15	27	59	156	77	114	60	37	306	43	51	39
776	328	TP01153	2	16	47	21	125	115	25	108	53	308	29	55	21
777	328	TP01153	2	17	66	45	117	133	93	78	53	315	34	56	133
778	328	TP01153	2	18	54	73	108	97	90	81	36	265	45	38	38
779	328	TP01153	2	19	17	40	133	113	120	72	52	262	50	22	58
780	328	TP01153	2	20	70	58	160	90	103	58	36	260	20	52	72
781	328	TP01153	2	21	70	43	141	96	129	24	36	265	29	13	31
782	328	TP01153	2	22	83	60	163	102	42	119	56	246	11	39	72
783	328	TP01153	2	23	30	97	236	86	44	202	172	148	24	27	50
784	328	TP01153	2	24	17	46	143	99	23	166	174	125	20	46	56
785	328	TP01153	2	25	49	49	128	77	88	45	58	242	8	30	17
786	328	TP01153	2	26	49	50	121	100	166	58	67	267	29	37	95
787	328	TP01153	2	27	245	61	135	126	88	54	41	276	27	64	22
788	328	TP01153	2	28	44	59	111	92	119	75	52	233	23	28	14
789	328	TP01153	2	29	57	73	188	322	246	89	210	200	23	43	74
790	328	TP01153	2	30	60	39	133	116	43	66	59	224	18	53	56
791	328	TP01153	2	31	68	44	143	95	55	59	58	227	26	27	44
792	328	TP01153	2	32	53	46	44	177	87	52	25	263	31	36	38
793	328	TP01153	2	33	63	33	131	90	101	60	158	121	33	35	39
794	328	TP01153	2	34	61	41	55	161	89	78	21	228	27	35	20
795	328	TP01153	2	35	57	41	102	90	120	42	178	136	22	31	108
796	328	TP01153	2	36	83	59	104	94	99	39	73	222	46	28	55
797	328	TP01153	2	37	42	43	121	72	101	59	54	242	34	36	38
798	328	TP01153	2	38	48	50	109	93	48	238	36	137	24	9	51
799	328	TP01153	2	39	40	30	112	85	88	62	37	307	13	48	53
800	328	TP01153	2	40	17	53	103	92	100	56	24	243	29	16	58
